Designator,Mid X,Mid Y,Layer,Rotation
C1,112.0000mm,-26.0000mm,Top,90.0
C2,112.0000mm,-34.0000mm,Top,90.0
C3,112.0000mm,-42.0000mm,Top,90.0
C3V3,98.0000mm,-88.0000mm,Top,90.0
C4,112.0000mm,-50.0000mm,Top,90.0
C5,112.0000mm,-58.0000mm,Top,90.0
C6,112.0000mm,-66.0000mm,Top,90.0
C7,112.0000mm,-74.0000mm,Top,90.0
CB1,50.0000mm,-88.0000mm,Top,90.0
CB2,58.0000mm,-88.0000mm,Top,90.0
JP1,20.0000mm,-74.0000mm,Top,0.0
JP2,32.0000mm,-74.0000mm,Top,0.0
JP3,44.0000mm,-74.0000mm,Top,0.0
J_ESP_L,68.5700mm,-30.0000mm,Top,0.0
J_ESP_R,91.4300mm,-30.0000mm,Top,0.0
J_HUB,24.0000mm,-22.0000mm,Top,0.0
J_KNOBS,122.0000mm,-18.0000mm,Top,0.0
J_MIC,126.0000mm,-84.0000mm,Top,0.0
J_PANEL,60.0000mm,-100.0000mm,Top,0.0
J_PI,20.0000mm,-62.0000mm,Top,0.0
J_PWR,20.0000mm,-100.0000mm,Top,0.0
J_SW,40.0000mm,-100.0000mm,Top,0.0
Q1,38.0000mm,-88.0000mm,Top,0.0
R1,98.0000mm,-26.0000mm,Top,0.0
R2,98.0000mm,-34.0000mm,Top,0.0
R3,98.0000mm,-42.0000mm,Top,0.0
R4,98.0000mm,-50.0000mm,Top,0.0
R5,98.0000mm,-58.0000mm,Top,0.0
R6,98.0000mm,-66.0000mm,Top,0.0
R7,98.0000mm,-74.0000mm,Top,0.0
RG,20.0000mm,-88.0000mm,Top,0.0
